Bucket ID,Bucket Name,Course Names,Bucket Number of Hours,Bucket Number of Courses,Course IDs,,,,,,,,,,,,,,,,,,,,,,,
1,COSC Term 1 MATH,MATH 130; MATH 131,NULL,,,,,,,,,,,,,,,,,,,,,,,,,
2,EF 152/158,EF 152; EF 158,4,,,,,,,,,,,,,,,,,,,,,,,,,
3,Calc 2,MATH 142; MATH 148,4,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matrix Alg. 1,MATH 251; MATH 257,3,,,,,,,,,,,,,,,,,,,,,,,,,
5,COSC Natural Science,BIOL 101; BIOL 104; BIOL 150; BIOL 158; PHYS 231; CHEM 128; CHEM 102; CHEM 103; CHEM 122; CHEM 123,NULL,,,,,,,,,,,,,,,,,,,,,,,,,
6,Algorithms,COSC 302; COSC 307,4,,,,,,,,,,,,,,,,,,,,,,,,,
7,Systems Programming,COSC 360; COSC 367,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Probability and Random Vars,ECE 313; ECE 317; STAT 251; MATH 323,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COSC Upper Division Electives,COSC 325; COSC 361; COSC 362; COSC 366,6,2,,,,,,,,,,,,,,,,,,,,,,,,
10,Technical Writing,ENGL 355; ENGL 360,3,,,,,,,,,,,,,,,,,,,,,,,,,
11,CVE Term 1 MATH,MATH 132; MATH 141; MATH 147,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,CVE EF COSC options,EF 105; COSC 101; COSC 102,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CVE Concentration Electives,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CVE Concentration Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CVE Technical Electives,ACCT 200; EF 333; PHYS 231; PHYS 232; MATH 251; ME 231; ME 331; ECE 201; COSC 102; CHEM 210; CHEM 260; CHEM 268; CE 581; CE 582; CE 583; CE 584; CE 485; CE 495; CHEM 330; ENVE 511; ENVE 513; GEOG 411; CE 531; CE 535; GEOL 310; GEOL 330; GEOL 340; GEOL 471; CE 521; CE 522; CE 525; CE 462; CE 472; CE 474; CE 576; CE 551; CE 552; CE 553; GEOG 411; CE 485; CE 495; ENVE 515; ENVE 516; ENVE 526; ENVE 533; GEOG 411,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CVE Science Electives,BIOL 101; BIOL 102; BIOL 150; BIOL 158; GEOG 131; GEOL 101; GEOL 103; GEOL 107; ENVE 513; ESS 462,NULL,1,,,,,,,,,,,,,,,,,,,,,,,,
17,ENVE 391 Co-Req Options,CE 262; ME 202,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CVE Term 5 Options,CBE 201; COSC 101; COSC 102; COSC 111; ME 202; MSE 201,NULL,1,,,,,,,,,,,,,,,,,,,,,,,,
19,CBE 201 PreReq,CHEM 132; CHEM 138,,,,,,,,,,,,,,,,,,,,,,,,,,
20,COSC 102 Co-Req,MATH 132; MATH 141,,,,,,,,,,,,,,,,,,,,,,,,,,
21,EF 230 Pre-Req,EF 105; EF 142; COSC 101; COSC 102; COSC 111,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CVE Physics,EF 151; EF 157; PHYS 135; PHYS 136,NULL,2,,,,,,,,,,,,,,,,,,,,,,,,
23,Term 1 CHEM,CHEM 122; CHEM 128,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ME ECON,ECON 201; ECON 207,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Computer Solution,EF 230; EF 237,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Calc 3,BME Technical Elective,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Diff Eq 1,MATH 231; MATH 237,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Intro to Materials Science,MSE 201; MSE 207,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fluid Mechanics,AE 341; AE 347,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Engineering Analysis,ME 391; ME 397,,,,,,,,,,,,,,,,,,,,,,,,,,
31,System Dynamics,ME 363; ME 367,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mechanisms,ME 231; ME 463,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Thermal Engineering,ME 475; ME 477,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AE Physics,EF 142; EF 151; EF 157,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Airplane Performance,AE 370; AE 377,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sem 1 ENG,ENGL 101; ENGL 131,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NE PHYS 250/252,PHYS 250; PHYS 252,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NE Technical Elective,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BME Technical Elective,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,152 Prereqs ,EF 151; EF 142,,1,,,,,,,,,,,,,,,,,,,,,,,,
48,Chemistry first year,"CHEM 132, CHEM 133; CHEM 138",,2,,,,,,,,,,,,,,,,,,,,,,,,
49,Biosystems Term Five,STAT 251; IE 200,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Biostystems Tech Elective ,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MSE Elective UD,,6,,,,,,,,,,,,,,,,,,,,,,,,,
52,MSE Tech Elective,,6,,,,,,,,,,,,,,,,,,,,,,,,,
