Course ID,Course,Course Name,Course Hours,Course Description
1,MATH 141,Calculus I,4,"Single variable calculus especially for students of science, engineering, mathematics, and computer science. Differential calculus with applications."
1,MATH 147,Honors Calculus I ,4,Honors version of 141 for well-prepared students.
2,EF 141,Engineering Fundamentals I,4,
2,EF 151,Engineering Fundamentals,4,
2,EF 157,Honors Engineering Fundamentals I,4,
3,EF 105,Computer Methods in Engineering Problem Solving ,1,"Introduction to computer applications used in engineering problem solving and communications. Introduction to programming concepts, including conditional statements and looping, and the development and implementation of logic flow diagrams."
4,CHEM 122,General Chemistry,3,"A general course in theoretical and descriptive chemistry. Modern atomic theory, chemical bonding, molecular structures and geometries, stoichiometry, and quantitative aspects of solution chemistry, gas laws, and chemical energy."
4,CHEM 123,General Chemistry Lab ,1,
4,CHEM 128,Honors General Chemistry ,4,"A sophisticated treatment of the principles of chemistry designed for students who are well prepared for a thorough and systematic study of chemistry. Topics include atomic structure and bonding, molecular structure, spectroscopy, chemical reactions and stoichiometry, introduction to organic compounds and reactions, intermolecular forces and phase transitions, behavior of gases."
5,CHEM 132,General Chemistry 2,3,"A general course in theoretical and descriptive chemistry. Intermolecular forces, kinetics, chemical equilibria, acid and base chemistry, thermodynamics, electrochemistry, and introduction to coordination chemistry."
5,CHEM 133,General Chemistry 2 Lab ,1,
5,CHEM 138,Honors General Chemistry 2,4,"A sophisticated treatment of the principles of chemistry designed for students who are well prepared for a thorough and systematic study of chemistry. Topics include chemical equilibrium, thermodynamics, kinetics, transition metal complexes, and nuclear chemistry."
6,EF 152,Physics for Engineers 2,4,"Calculus-based study of basic physics concepts, including rotational dynamics, statics, oscillations, waves, fluids, heat and temperature, first and second law of thermodynamics and electricity and magnetism. Introduction to team work. Introduction to the engineering disciplines, examination of engineering principles and design issues. Oral and written presentation skills."
6,EF 158,Honors Physics for Engineers 2,4,Honors 152
7,MATH 142,Calculus II,4,"Single variable calculus especially for students of science, engineering, mathematics, and computer science. Integral calculus with applications."
7,MATH 148,Honors Calculus II,4,
8,CHEM 210,Foundations of Analytical Chemistry ,3,Principles and practices of wet chemical and instrumental methods of chemical analysis with statistical treatment of acquired date.
8,CHEM 219,Foundations of Analytical Chemistry Lab,1,Experiments on the principles and practices of wet chemical and instrumental methods of chemical analysis with statistical treatment of acquired data.
9,CBE 201,Material and Energy Balances,4,Steady-state and transient material and energy balances in chemical and biomolecular systems. Introduction to flowsheet software.
10,CBE 235,Fundamentals of Molecular Bioengineering,3,"Summary of principles of biochemistry, molecular biology, and genetics from an engineering and applied science perspective. Examples of biologically-based molecular technologies and analysis and manipulation of living systems for technological applications."
11,MATH 231,Differential Equations,3,"First course emphasizing solution techniques. Includes first-order equations and applications, theory of linear equations, equations with constant coefficients, Laplace transforms, and series solutions."
11,MATH 237,Honors Differential Equations,3,Honors version of Math 231
12,CBE 240,Fluid Flow and Heat Transfer,4,"Force, energy and mechanical energy balances; flow in tubes, piping systems, packed and fluidized beds; pumping and metering; steady and unsteady state heat conduction; heat transfer in tubes and heat exchangers; radiation."
13,CBE 250,Applications of Biomolecular and Chemical Engineering Thermodynamics,4,"Basic concepts related to engineering applications of thermodynamics to the chemical and biomolecular industries; emphasis on flow processes, real gases and liquids, protein synthesis and hydration, estimation of physical properties, phase equilibria of industrial chemical and pharmaceutical processes, and chemical reaction equilibria including biomolecular applications."
14,PHYS 231,Fundamentals of Physics: Electricity and Magnetism,3,"For engineers and majors in mathematics and the physical sciences. Electric and magnetic phenomena including DC and AC circuits and electromagnetic waves.
"
15,MATH 241,Calculus III,4,"Calculus of functions in two or more dimensions. Includes solid analytic geometry, partial differentiation, multiple integration, and selected topics in vector calculus."
15,MATH 247,Honors Calculus II,4,
16,CBE 301,Application of Numerical and Statistical Techniques in Chemical Engineering,4,"Numerical methods for regression, integration, solution for systems of linear/nonlinear algebraic and differential equations for applications to chemical engineering problems; statistical methods for probabilities, expectations, sampling, and estimation for applications to chemical engineering problems."
17,CBE 350,Chemical and Bioengineering Reactor Fundamentals,4,"Homogeneous and heterogeneous reaction kinetics; idealized homogeneous reactor models, both for closed and flow systems; analysis of batch reactor data; multiple reactions; non-isothermal reactions."
18,CHEM 260,Foundations of Organic Chemistry,3,"Compounds of carbon and their reactions. Reaction mechanisms, synthesis, spectroscopic, and other physical properties."
18,CHEM 268,Honors Foundations of Organic Chemistry,3,Honors Chem 260
19,CBE 320,Chemical and Biomolecular Engineering Lab,3,"Experiments in unit operations such as pumps, heat exchangers, distillation columns, and fermenters. Application of the principles of transport phenomena."
20,CBE 340,Mass Transfer and Separation Processes,3,"Stagewise operation. Application of analytical, graphical, and computer methods to design of stagewise separatory operations. Differential operations application of analytical and computer methods to the design of diffusive processes. Applications include gas absorption, stripping, binary distillation, and extraction."
