Bucket ID,Bucket Name,Course Names,Bucket Number of Hours,Course IDs (code will populate)
1,COSC Term 1 MATH,MATH 130; MATH 131,NULL,
2,EF 152/158,EF 152; EF 158,4,
3,Calc 2,MATH 142; MATH 148,4,
4,Matrix Alg. 1,MATH 251; MATH 257,3,
5,COSC Natural Science,BIOL 101; BIOL 104; BIOL 150; BIOL 158; PHYS 231; CHEM 128; CHEM 102; CHEM 103; CHEM 122; CHEM 123,NULL,
6,Algorithms,COSC 302; COSC 307,4,
7,Systems Programming,COSC 360; COSC 367,,
8,Probability and Random Vars,ECE 313; ECE 317; STAT 251; MATH 323,,
9,COSC Upper Division Electives,COSC 325; COSC 361; COSC 362; COSC 366,6,
10,Technical Writing,ENGL 355; ENGL 360,3,
11,CVE Term 1 MATH,MATH 132; MATH 141; MATH 147,3; 4,
12,CVE EF COSC options,EF 105; COSC 101; COSC 102,,
13,CVE Concentration Electives,,,
14,CVE Concentration Labs,,,
15,CVE Technical Electives,ACCT 200; EF 333; PHYS 231; PHYS 232; MATH 251; ME 231; ME 331; ECE 201; COSC 102; CHEM 210; CHEM 260; CHEM 268; CE 581; CE 582; CE 583; CE 584; CE 485; CE 495; CHEM 330; ENVE 511; ENVE 513; GEOG 411; CE 531; CE 535; GEOL 310; GEOL 330; GEOL 340; GEOL 471; CE 521; CE 522; CE 525; CE 462; CE 472; CE 474; CE 576; CE 551; CE 552; CE 553; GEOG 411; CE 485; CE 495; ENVE 515; ENVE 516; ENVE 526; ENVE 533; GEOG 411,,
16,CVE Science Electives,BIOL 101; BIOL 102; BIOL 150; BIOL 158; GEOG 131; GEOL 101; GEOL 103; GEOL 107; ENVE 513; ESS 462,3; 4,
17,ENVE 391 Co-Req Options,CE 262; ME 202,,
18,CVE Term 5 Options,CBE 201; COSC 101; COSC 102; COSC 111; ME 202; MSE 201,2; 4,
19,CBE 201 PreReq,CHEM 132; CHEM 138,,
20,COSC 102 Co-Req,MATH 132; MATH 141,,
21,EF 230 Pre-Req,EF 105; EF 142; COSC 101; COSC 102; COSC 111,3; 4,
22,CVE Physics,EF 151; EF 157; PHYS 135; PHYS 136,8; 9,
