Major ID,Required Course ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket ID,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
1,NULL,,,,1,,,
1,25,,,,NULL,,,
1,26,,,,NULL,,,
1,6,,,,NULL,,,
1,7,,,,NULL,,,
1,27,,,,NULL,,,
1,,MATH 251,,,,,,
1,NULL,,,,5,,,
1,NULL,COSC 302,,,,,,
1,28,,,,NULL,,,
1,NULL,COSC 360,,,,,,
1,NULL,,,,8,,,
1,NULL,,,,9,,,
1,30,,,,NULL,,,
1,31,,,,NULL,,,
1,NULL,,,,10,,,
1,32,,,,NULL,,,
1,33,,,,NULL,,,
