Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
5,3,NULL,EF 105,,,,,
5,136,NULL,ENGL 101,,,,,
5,NULL,11,,,,,,
5,NULL,34,,,,,,
5,NULL,23,,,,,,
5,27,NULL,ENGL 102,,,,,
5,37,NULL,ME 202,,,,,
5,NULL,NULL,MATH 142,,,,,
5,NULL,NULL,EF 152,,,,,
5,NULL,19,,,,,,
5,87,NULL,MATH 200,,,,,
5,74,NULL,ME 231,,,,,
5,84,NULL,STAT 251,,,,,
5,150,NULL,,,,,,
5,NULL,25,,,,,,
5,137,NULL,BME 205,,,,,
5,74,NULL,ME 321,,,,,
5,14,NULL,PHYS 231,,,,,
5,NULL,26,,,,,,
5,138,NULL,BME 474,,,,,
5,99,NULL,ECE 301,,,,,
5,139,NULL,PHIL 345,,,,,
5,149,NULL,,,,,,
5,148,NULL,,,,,,
5,NULL,45,,,,,,
5,140,NULL,BME 315,,,,,
5,141,NULL,BME 345,,,,,
5,151,NULL,,,,,,
5,142,NULL,BME 449,,,,,
5,143,NULL,BME 450,,,,,
5,144,NULL,BME 460,,,,,
5,,,,,,,,
5,,,,,,,,
5,,,,,,,,
5,,,,,,,,
