Major ID,Required Course,Required Bucket ID,Required Course ID,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
8,NULL,34,,,,,,
8,NULL,20,,,,,,
8,COSC 111,,,,,,,
8,ENGL 102,,,,,,,
8,EF 152,,,,,,,
8,MATH 142,,,,,,,
8,IE 200,,,,,,,
8,IE 201,,,,,,,
8,IE 250,,,,,,,
8,PHYS 231,,,,,,,
8,ECON 201,,,,,,,
8,MATH 241,,,,,,,
8,EF 141,,,,,,,
8,EF 142,,,,,,,
8,NULL,38,,,,,,
8,IE 202,,,,,,,
8,IE 405,,,,,,,
8,MATH 200,,,,,,,
8,MATH 231,,,,,,,
8,NULL,39,,,,,,
8,IE 301,,,,,,,
8,IE 304,,,,,,,
8,IE 340,,,,,,,
8,IE 402,,,,,,,
8,IE 401,,,,,,,
8,NULL,43,,,,,,
8,NULL,53,,,,,,
,,,,,,,,
8,IE 300,,,,,,,
8,IE 406,,,,,,,
8,IE 404,,,,,,,
,,,,,,,,
8,IE 422,,,,,,,
8,IE 421,,,,,,,
8,IE 427,,,,,,,
